Latitude,Longitude,Country,City,Population
FLOAT,FLOAT,TEXT,TEXT,INT
8.4091667,20.6530556,cf,ndele,11941
51.15,5.75,be,kinrooi,11946
-10.983333,-42.95,br,utinga,11949
-10.333333,-67.183333,br,placido de castro,11950
40.2958333,20.0191667,al,tepelene,11955
48.25,7.816667,de,ettenheim,11956
48.561463,3.297725,fr,provins,11958
49.983333,7.966667,de,geisenheim,11959
-22.6,-50.65,br,maracai,11960
49.583333,9.366667,de,walldurn,11960
60.3,22.3,fi,parainen,11962
49.06,-122.46,ca,aldergrove,11963
47.972812,2.771859,fr,amilly,11965
49.30335,6.108598,fr,fameck,11966
-20.683333,-50.566667,br,auriflama,11971
54.033333,10.75,de,scharbeutz,11973
53.783333,9.416667,de,gluckstadt,11976
50.333333,4.516667,be,gerpinnes,11977
50.166667,5.216667,be,rochefort,11978
50.866667,4.083333,be,liedekerke,11980
48.183333,11.75,de,kirchheim,11982
51.066667,2.666667,be,veurne,11983
-23.466667,-47.75,br,capela do alto,11991
41.4225,46.924167,az,qax,11993
43.677923,4.432586,fr,saint-gilles,11995
48.033333,10.733333,de,buchloe,11997
40.950653,-5.627226,es,santa marta de tormes,11998
47.908124,7.209761,fr,guebwiller,12005
47.733333,8.833333,de,rielasingen-worblingen,12006
-14.733333,-56.333333,br,nobres,12010
48.7,13.016667,de,osterhofen,12010
50.316667,4.666667,be,mettet,12014
-21.05,-41.983333,br,natividade,12014
50.75,13.066667,de,zschopau,12016
35.948308,66.42132,af,tokzar,12021
43.554021,1.534106,fr,saint-orens-de-gameville,12024
48.433333,12.933333,de,pfarrkirchen,12029
37.840641,-3.352622,es,jodar,12031
49.258999,2.437766,fr,montataire,12031
49.5,10.416667,de,bad windsheim,12033
53.416667,7.983333,de,zetel,12037
42.458786,-6.056013,es,astorga,12037
50.966667,4.183333,be,opwijk,12045
42.20033,2.190467,es,ripoll,12047
47.8,10.933333,de,peiting,12048
47.510513,7.617668,ch,munchenstein,12059
53.516667,13.983333,de,pasewalk,12059
52.766667,-0.383333,gb,bourne,12060
-22.4172,-44.2861,br,porto real,12061
50.548729,3.027313,fr,seclin,12061
49.281783,1.780098,fr,gisors,12062
